Date;Close
16/09/2014;457.3340149
17/09/2014;424.4400024
18/09/2014;394.79599
19/09/2014;408.9039917
20/09/2014;398.8210144
21/09/2014;402.1520081
22/09/2014;435.7909851
23/09/2014;423.2049866
24/09/2014;411.5740051
25/09/2014;404.4249878
26/09/2014;399.519989
27/09/2014;377.1809998
28/09/2014;375.4670105
29/09/2014;386.9440002
30/09/2014;383.6149902
01/10/2014;375.071991
02/10/2014;359.5119934
03/10/2014;328.8659973
04/10/2014;320.5100098
05/10/2014;330.07901
06/10/2014;336.1870117
07/10/2014;352.9400024
08/10/2014;365.026001
09/10/2014;361.5620117
10/10/2014;362.2990112
11/10/2014;378.5490112
12/10/2014;390.4140015
13/10/2014;400.8699951
14/10/2014;394.7730103
15/10/2014;382.5559998
16/10/2014;383.7579956
17/10/2014;391.4419861
18/10/2014;389.54599
19/10/2014;382.8450012
20/10/2014;386.4750061
21/10/2014;383.1579895
22/10/2014;358.4169922
23/10/2014;358.3450012
24/10/2014;347.2709961
25/10/2014;354.70401
27/10/2014;352.9890137
28/10/2014;357.6180115
29/10/2014;335.5910034
30/10/2014;345.3049927
31/10/2014;338.3210144
01/11/2014;325.7489929
02/11/2014;325.8919983
03/11/2014;327.5539856
04/11/2014;330.4920044
05/11/2014;339.4859924
06/11/2014;349.2900085
07/11/2014;342.4150085
08/11/2014;345.4880066
09/11/2014;363.2640076
10/11/2014;366.9240112
11/11/2014;367.6950073
12/11/2014;423.5610046
13/11/2014;420.7349854
14/11/2014;397.8179932
15/11/2014;376.1329956
16/11/2014;387.8819885
17/11/2014;387.4079895
18/11/2014;375.197998
19/11/2014;380.5549927
20/11/2014;357.8399963
21/11/2014;350.8479919
22/11/2014;352.9200134
23/11/2014;367.572998
24/11/2014;376.901001
25/11/2014;375.3479919
26/11/2014;368.3699951
27/11/2014;369.6700134
28/11/2014;376.446991
29/11/2014;375.4909973
30/11/2014;378.0469971
01/12/2014;379.2449951
02/12/2014;381.3150024
03/12/2014;375.0100098
04/12/2014;369.6040039
05/12/2014;376.8540039
06/12/2014;374.7850037
07/12/2014;375.0950012
08/12/2014;361.9089966
09/12/2014;352.2189941
10/12/2014;346.3649902
11/12/2014;350.506012
12/12/2014;352.5419922
13/12/2014;347.3760071
14/12/2014;351.6319885
15/12/2014;345.3450012
16/12/2014;327.0620117
17/12/2014;319.776001
18/12/2014;311.3959961
19/12/2014;317.8429871
20/12/2014;329.9559937
21/12/2014;320.8429871
22/12/2014;331.8859863
23/12/2014;334.571991
24/12/2014;322.5339966
25/12/2014;319.0079956
26/12/2014;327.9240112
27/12/2014;315.8630066
28/12/2014;317.2390137
29/12/2014;312.6700134
30/12/2014;310.7369995
31/12/2014;320.1929932
01/01/2015;314.2489929
02/01/2015;315.0320129
03/01/2015;281.0820007
04/01/2015;264.1950073
05/01/2015;274.473999
06/01/2015;286.1889954
07/01/2015;294.3370056
08/01/2015;283.348999
09/01/2015;290.4079895
10/01/2015;274.79599
11/01/2015;265.6600037
12/01/2015;267.79599
13/01/2015;225.8609924
14/01/2015;178.1029968
15/01/2015;209.8439941
16/01/2015;208.0970001
17/01/2015;199.2599945
18/01/2015;210.3390045
19/01/2015;214.8609924
20/01/2015;211.3150024
21/01/2015;226.8970032
22/01/2015;233.4060059
23/01/2015;232.8789978
24/01/2015;247.8470001
25/01/2015;253.7180023
26/01/2015;273.4729919
27/01/2015;263.4750061
28/01/2015;233.9149933
29/01/2015;233.5130005
30/01/2015;226.4250031
31/01/2015;217.4640045
01/02/2015;226.9720001
02/02/2015;238.2290039
03/02/2015;227.2680054
04/02/2015;226.8529968
05/02/2015;217.1109924
06/02/2015;222.2660065
07/02/2015;227.7539978
08/02/2015;223.4120026
09/02/2015;220.1100006
10/02/2015;219.8390045
11/02/2015;219.1849976
12/02/2015;221.7640076
13/02/2015;235.427002
14/02/2015;257.3210144
15/02/2015;234.8249969
16/02/2015;233.8430023
17/02/2015;243.6100006
18/02/2015;236.326004
19/02/2015;240.2830048
20/02/2015;243.779007
21/02/2015;244.5339966
22/02/2015;235.977005
23/02/2015;238.8919983
24/02/2015;238.7350006
25/02/2015;237.4700012
26/02/2015;236.4259949
27/02/2015;253.8280029
28/02/2015;254.2630005
01/03/2015;260.2019958
02/03/2015;275.6700134
03/03/2015;281.7019958
04/03/2015;273.0920105
05/03/2015;276.178009
06/03/2015;272.7229919
07/03/2015;276.2609863
08/03/2015;274.3540039
09/03/2015;289.6069946
10/03/2015;291.7600098
11/03/2015;296.3789978
12/03/2015;294.3540039
13/03/2015;285.3370056
14/03/2015;281.8850098
15/03/2015;286.3930054
16/03/2015;290.5929871
17/03/2015;285.5050049
18/03/2015;256.2990112
19/03/2015;260.928009
20/03/2015;261.7489929
21/03/2015;260.0249939
22/03/2015;267.9599915
23/03/2015;266.7399902
24/03/2015;245.5950012
25/03/2015;246.1970062
26/03/2015;248.5319977
27/03/2015;247.029007
28/03/2015;252.7980042
29/03/2015;242.7129974
29/03/2015;247.526001
30/03/2015;244.223999
31/03/2015;247.2720032
01/04/2015;253.0050049
02/04/2015;254.3220062
03/04/2015;253.6970062
04/04/2015;260.5979919
05/04/2015;255.4920044
06/04/2015;253.1799927
07/04/2015;245.0220032
08/04/2015;243.6759949
09/04/2015;236.0720062
10/04/2015;236.552002
11/04/2015;236.1529999
12/04/2015;224.5870056
13/04/2015;219.1589966
14/04/2015;223.8329926
15/04/2015;228.572998
